Summary Level	Geographic Component	State FIPS	Place FIPS	County FIPS	Tract	Zip	Block	Name	Latitude	Longitude
160	00	06	57526					Placentia city	33.882364	-117.855130
160	00	06	57540					Placerville city	38.729267	-120.803000
160	00	06	57582					Planada CDP	37.290596	-120.318929
160	00	06	57764					Pleasant Hill city	37.951672	-122.072324
160	00	06	57792					Pleasanton city	37.672530	-121.882517
160	00	06	57828					Plumas Eureka CDP	39.789608	-120.651553
160	00	06	57834					Plymouth city	38.479339	-120.847721
160	00	06	57876					Point Arena city	38.913118	-123.695342
160	00	06	57960					Point Reyes Station CDP	38.073344	-122.806022
160	00	06	58030					Pollock Pines CDP	38.756411	-120.577867
160	00	06	58072					Pomona city	34.060760	-117.755886
160	00	06	58191					Poplar-Cotton Center CDP	36.053936	-119.144796
160	00	06	58226					Port Costa CDP	38.045987	-122.185246
160	00	06	58240					Porterville city	36.068550	-119.027536
160	00	06	58296					Port Hueneme city	34.160250	-119.194509
160	00	06	58352					Portola city	39.810151	-120.469843
160	00	06	58356					Portola Hills CDP	33.683672	-117.632872
160	00	06	58380					Portola Valley town	37.375023	-122.218635
160	00	06	58520					Poway city	32.969895	-117.038479
160	00	06	58618					Prattville CDP	40.208022	-121.156603
160	00	06	58870					Prunedale CDP	36.799915	-121.667238
160	00	06	58982					Quail Valley CDP	33.706595	-117.246094
160	00	06	59052					Quartz Hill CDP	34.652194	-118.220647
160	00	06	59080					Quincy CDP	39.936279	-120.947921
160	00	06	59220					Rail Road Flat CDP	38.324115	-120.507930
160	00	06	59248					Rainbow CDP	33.411213	-117.149209
160	00	06	59290					Raisin City CDP	36.602448	-119.905103
160	00	06	59346					Ramona CDP	33.035868	-116.870633
160	00	06	59426					Rancho Calaveras CDP	38.124407	-120.859036
160	00	06	59444					Rancho Cordova CDP	38.585083	-121.297269
160	00	06	59451					Rancho Cucamonga city	34.123345	-117.579404
160	00	06	59500					Rancho Mirage city	33.769227	-116.421050
160	00	06	59506					Rancho Murieta CDP	38.503068	-121.084643
160	00	06	59514					Rancho Palos Verdes city	33.758216	-118.364256
160	00	06	59550					Rancho San Diego CDP	32.765985	-116.921477
160	00	06	59584					Rancho Santa Fe CDP	33.023943	-117.200110
160	00	06	59587					Rancho Santa Margarita city	33.641518	-117.594524
160	00	06	59604					Rancho Tehama Reserve CDP	40.008099	-122.425912
160	00	06	59668					Randsburg CDP	35.367588	-117.654189
160	00	06	59892					Red Bluff city	40.176640	-122.237951
160	00	06	59920					Redding city	40.576606	-122.370325
160	00	06	59962					Redlands city	34.056563	-117.171449
160	00	06	60018					Redondo Beach city	33.856514	-118.377081
160	00	06	60088					Redway CDP	40.119444	-123.826411
160	00	06	60102					Redwood City city	37.482887	-122.236006
160	00	06	60242					Reedley city	36.596950	-119.448702
160	00	06	60466					Rialto city	34.111360	-117.382403
160	00	06	60606					Richgrove CDP	35.796677	-119.106654
160	00	06	60620					Richmond city	37.936874	-122.342057
160	00	06	60704					Ridgecrest city	35.620932	-117.675749
160	00	06	60706					Ridgemark CDP	36.810353	-121.362816
160	00	06	60900					Rio Dell city	40.498594	-124.105637
160	00	06	60928					Rio del Mar CDP	36.963764	-121.887690
160	00	06	60942					Rio Linda CDP	38.690252	-121.453814
